text,font_size,page_number,level,is_bold,is_centered,space_above,word_count,x0
"Application form for grant of LTC advance","12.0",1,"Title",True,False,0.0,7,180.1
"1.","11.0",1,"Body",False,False,23.3,1,89.1
"Name of the Government Servant","11.0",1,"Body",False,False,0.0,5,153.2
"2.","11.0",1,"Body",False,False,2.7,1,89.1
"Designation","11.0",1,"Body",False,False,0.0,1,153.2
"3.","11.0",1,"Body",False,False,2.7,1,89.1
"Date of entering the Central Government","11.0",1,"Body",False,False,0.0,6,153.2
"Service","11.0",1,"Body",False,False,2.8,1,164.2
"4.","11.0",1,"Body",False,False,2.7,1,89.1
"$PAY+SI+NPA$","11.0",1,"Body",False,False,0.0,1,153.2
"5.","11.0",1,"Body",False,False,2.7,1,89.1
"Whether permanent or temporary","11.0",1,"Body",False,False,0.0,4,153.2
"6.","11.0",1,"Body",False,False,16.8,1,89.1
"Home Town as recorded in the Service Book","11.0",1,"Body",False,False,0.0,8,153.2
"7.","11.0",1,"Body",False,False,16.8,1,89.1
"Whether wife / husband is employed and if","11.0",1,"Body",False,False,0.0,8,153.2
"so whether entitled to LTC","11.0",1,"Body",False,False,2.8,5,164.2
"8.","11.0",1,"Body",False,False,2.7,1,89.1
"Whether the concession is to be availed for","11.0",1,"Body",False,False,0.0,8,153.2
"visiting home town and if so block for which","11.0",1,"Body",False,False,2.8,9,164.2
"LTC is to be availed.","11.0",1,"Body",False,False,2.8,5,164.2
"9.","11.0",1,"Body",False,False,2.7,1,89.1
"(a) If the concession is to visit anywhere in","11.0",1,"Body",False,False,0.0,9,153.2
"India, the place to be visited.","11.0",1,"Body",False,False,2.8,6,168.2
"(b) Block for which to be availed.","11.0",1,"Body",False,False,13.9,6,164.2
"Single rail fare/bus fare from the","11.0",1,"Body",False,False,2.7,6,153.2
"10.","11.0",1,"Body",False,False,0.0,1,89.1
"headquarters to home town/place of visit by","11.0",1,"Body",False,False,0.0,8,153.2
"shortest route.","11.0",1,"Body",False,False,2.8,2,164.2
"Persons in respect of whom LTC is proposed to be availed.","11.0",1,"Body",True,False,5.5,11,189.2
"Name","11.0",1,"Body",True,False,5.5,1,163.2
"S.No","11.0",1,"Body",True,False,0.0,1,96.1
"Age","11.0",1,"Body",True,False,0.0,1,288.1
"Relationship","11.0",1,"Body",True,False,0.0,1,388.0
"1.","11.0",1,"Body",False,False,5.5,1,100.1
"2.","11.0",1,"Body",False,False,13.9,1,100.1
"11.","11.0",1,"Body",False,False,0.0,1,89.1
"3.","11.0",1,"Body",False,False,0.0,1,100.1
"4.","11.0",1,"Body",False,False,13.9,1,100.1
"5.","11.0",1,"Body",False,False,13.9,1,100.1
"6.","11.0",1,"Body",False,False,13.9,1,100.1
"12.","11.0",1,"Body",False,False,2.7,1,89.1
"Amount of advance required.","11.0",1,"Body",False,False,0.0,4,153.2
"Rs.","11.0",1,"Body",False,False,0.0,1,364.6
