Font_Size,Font_Name,Is_Bold,Is_Italic,Is_Centered,X_Position_Approx,Font_Color,Total_Chars,Total_Lines,Sample_Text_Lines
28.0,LiberationSans-Bold,True,False,True,206.0,0,11,1,Lorem ipsum
24.0,Calibri-Bold,True,False,False,72.0,0,15,1,Getting Started
24.0,Calibri,False,False,True,244.0,0,13,1,This is Title
20.0,Calibri-Bold,True,False,True,72.0,1001313,92,2,Welcome to the “Connecting the Dots” Challenge | Round 1B: Persona-Driven Document Intelligence
20.0,Calibri-Bold,True,False,False,72.0,1001313,34,1,Round 1A: Understand Your Document
20.0,Calibri-Bold,True,False,False,72.0,0,42,3,Dummy PDF File | Dummy PDF File | Dummy PDF File
20.0,Calibri,False,False,False,72.0,0,54,2,https://github.com/jhaaj08/Adobe-India- | Hackathon25.git
20.0,AptosDisplay,False,False,False,72.0,1001313,9,1,Appendix:
18.0,LiberationSans-Bold,True,False,True,75.0,0,152,3,"Lorem ipsum dolor sit amet, consectetur adipiscing | Cras fringilla ipsum magna, in fringilla dui commodo | Lorem ipsum dolor sit amet, consectetur adipiscing"
18.0,LiberationSans-Bold,True,False,False,57.0,0,30,2,elit. Nunc ac faucibus odio. | a.
18.0,LiberationSans-Bold,True,False,False,96.0,0,5,1,elit.
18.0,Calibri-Bold,True,False,False,72.0,0,43,3,Introduction to Python | Installation | Variables
18.0,"Arial,Bold",True,False,True,191.0,16711680,19,1,PDF BOOKMARK SAMPLE
16.0,LiberationSans-Bold,True,False,True,75.0,0,57,1,"Maecenas mauris lectus, lobortis et purus mattis, blandit"
16.0,LiberationSans-Bold,True,False,False,104.0,0,14,1,dictum tellus.
16.0,LiberationSans-Bold,True,False,False,75.0,0,52,1,In eleifend velit vitae libero sollicitudin euismod.
16.0,Calibri-Bold,True,False,False,72.0,0,94,4,This is  a Bolded heading | This is italic heading | This is  a Bolded heading | This is italic heading
16.0,Calibri,False,False,False,72.0,0,84,4,This is Sub heading 1 | This is Sub heading 2 | This is Sub heading 1 | This is Sub heading 2
16.0,Calibri,False,False,True,72.0,0,260,4,"This is  a two line large sub heading which repeeates itself from now, | a two line large sub heading which repeeates itself from now | This is  a two line large sub heading which repeeates itself from now, | a two line large sub heading which repeeates itself from now"
14.0,SymbolMT,True,False,False,126.0,0,77,3,• Accepts a PDF file (up to 50 pages) | • Must run on CPU only | • Model size ≤ 1GB
14.0,SymbolMT,True,False,True,126.0,0,59,1,• Processing time ≤ 60 seconds for document collection (3-5
14.0,SymbolMT,False,True,True,126.0,0,51,1,• Output JSON format: Refer challenge1b_output.json
14.0,Calibri-Italic,False,True,False,72.0,0,65,1,"connected ideas, and narrated meaning across your entire library?"
14.0,Calibri-Bold,True,False,False,72.0,1001313,483,20,Rethink Reading. Rediscover Knowledge | The Journey Ahead | Why This Matters | Are you in? | Expected Execution
14.0,Calibri-Bold,True,False,True,72.0,0,227,3,"surfaces insights, and responds to you like a trusted research compani... | context. You’re not just building tools — you’re building the future o... | read, learn, and connect. No matter your background — ML hacker, UI bu..."
14.0,Calibri-Bold,True,False,False,72.0,0,126,7,"H3 — in a clean, hierarchical format. | Bonus: Multilingual Handling (e.g., | Japanese) | Total | [[Public Dataset Folder]]"
14.0,Calibri-Bold,True,False,False,78.0,0,10,1,Constraint
14.0,Calibri-Bold,True,False,False,188.0,0,11,1,Requirement
14.0,Calibri-Bold,True,False,False,149.0,0,25,2,No internet access | allowed
14.0,Calibri-Bold,True,False,False,331.0,0,3,1,Max
14.0,Calibri-Bold,True,False,False,170.0,0,8,1,Criteria
14.0,Calibri-Bold,True,False,False,325.0,0,6,1,Points
14.0,Calibri-Bold,True,False,True,262.0,0,3,1,Max
14.0,Calibri-Bold,True,False,True,255.0,0,6,1,Points
14.0,Calibri-Bold,True,False,False,381.0,0,11,1,Description
14.0,Calibri-Bold,True,False,False,73.0,0,8,1,Criteria
14.0,Calibri,True,False,True,72.0,0,375,5,"That’s the future we’re building — and we want you to help shape it. | In the Connecting the Dots Challenge, your mission is to reimagine the... | PDF as an intelligent, interactive experience—one that understands str... | outline of the document — essentially the Title, and headings like H1,... | This outline will be the foundation for the rest of your hackathon jou..."
14.0,Calibri,True,False,False,72.0,0,164,5,experience that feels like magic. Let’s go. | Challenge Theme: Connecting the Dots Through Docs | What You Need to Build | Docker Requirements | Sample input/output for testing
14.0,Calibri,True,False,False,72.0,1001313,59,4,Your Mission | Why This Matters | You Will Be Provided | Constraints
14.0,Calibri,True,False,False,126.0,0,63,2,"1. A sample input PDF (e.g., sample.pdf) | 2. A working Dockerfile"
14.0,Calibri,True,False,True,126.0,0,128,2,2. A sample ground truth output (sample.json) for format clarity | 3. Job-to-be-Done: Concrete task the persona needs to accomplish
14.0,Calibri,True,False,True,90.0,0,66,1,2. Document Collection: 3-10 related PDFs Persona Definition: Role
14.0,Calibri,True,False,False,144.0,1001313,26,1,d. Page Number Constraints
14.0,Calibri,False,True,True,72.0,0,78,1,"What if every time you opened a PDF, it didn’t just sit there—it spoke..."
14.0,Calibri,False,False,True,108.0,0,346,5,"Kick things off by building the brains — extract structured outlines f... | raw PDFs with blazing speed and pinpoint accuracy. Then, power it up | with on-device intelligence that understands sections and links relate... | It’s showtime! Build a beautiful, intuitive reading webapp using Adobe... | PDF Embed API. You will be using your Round 1 work to design a"
14.0,Calibri,False,False,False,108.0,0,84,3,ideas together. | futuristic webapp. | description with specific expertise and focus areas
14.0,Calibri,False,False,True,72.0,0,965,13,"In a world flooded with documents, what wins is not more content — it’... | It’s time to read between the lines. Connect the dots. And build a PDF | You're handed a PDF — but instead of simply reading it, you're tasked ... | making sense of it like a machine would. Your job is to extract a stru... | PDFs are everywhere — but machines don’t naturally understand their"
14.0,Calibri,False,False,False,72.0,0,755,28,"or insight whisperer — this is your stage. | generation. | You must build a solution that: | { | ""title"": ""Understanding AI"","
14.0,Calibri,False,False,False,126.0,0,350,17,3. Sample Dockerfile | 4. Sample Solution | platform=linux/amd64 <base_image> | filename.pdf | 4. A README.md that explains:
